uID,year,state,idwe.pw,hyads.pw,initial,layers_2-5,stack_height,stack_height_plus1,stack_height_plus2
10.1,2006,CA,0.000448265,6.19E-07,3.57E-06,3.63E-06,3.84E-06,3.76E-06,3.69E-06
10.1,2006,CO,0.000813367,1.92E-05,2.72E-05,2.77E-05,2.76E-05,2.76E-05,2.76E-05
10.1,2006,GA,0.003368511,0.007731182,0.007199899,0.007348701,0.007246636,0.007247319,0.007307257
10.1,2006,KY,0.001741136,0.003056093,0.00368902,0.00380109,0.003585682,0.003637701,0.003710897
10.1,2006,PA,0.000904024,0.001420875,0.000723873,0.000744999,0.000703507,0.000716419,0.00073099
10.1,2006,TX,0.001453315,0.00115074,0.001910778,0.001960101,0.001895651,0.001913995,0.001938659
10.1,2006,US,0.001399304,0.002036383,0.001816458,0.001851323,0.001823809,0.001829392,0.001840734
10.1,2006,WI,0.00091455,0.000861638,0.0001987,0.000205752,0.000202228,0.000207665,0.000207258
10.1,2011,CA,0.000459114,2.53E-09,7.50E-06,7.72E-06,7.15E-06,7.32E-06,7.51E-06
10.1,2011,CO,0.000784769,2.35E-06,1.18E-05,1.21E-05,1.17E-05,1.19E-05,1.20E-05
10.1,2011,GA,0.003242155,0.006932892,0.007654477,0.007711453,0.007955347,0.007675395,0.0076433
10.1,2011,KY,0.001517925,0.003287299,0.003746339,0.003829902,0.003745101,0.003735453,0.003781268
10.1,2011,PA,0.000830606,0.001647088,0.000983595,0.001010866,0.000959387,0.000967487,0.000989217
10.1,2011,TX,0.001342429,0.001301525,0.001475222,0.0015169,0.001462464,0.001480315,0.001496182
10.1,2011,US,0.001331992,0.002036009,0.001914779,0.00191456,0.001946698,0.001910379,0.00190678
10.1,2011,WI,0.00091746,0.000760131,0.000340319,0.000357455,0.000324893,0.000337779,0.000349276
10.2,2006,CA,0.000459046,6.06E-07,3.66E-06,3.71E-06,3.93E-06,3.85E-06,3.78E-06
10.2,2006,CO,0.000832927,1.93E-05,2.78E-05,2.84E-05,2.82E-05,2.83E-05,2.83E-05
10.2,2006,GA,0.00344952,0.007424004,0.007373049,0.007525429,0.007420909,0.007421609,0.007482989
10.2,2006,KY,0.001783009,0.003120845,0.003777737,0.003892502,0.003671914,0.003725183,0.00380014
10.2,2006,PA,0.000925765,0.001390267,0.000741281,0.000762915,0.000720426,0.000733648,0.00074857
10.2,2006,TX,0.001488265,0.001189324,0.00195673,0.002007239,0.001941239,0.001960024,0.001985282
10.2,2006,US,0.001432955,0.002043227,0.001860142,0.001895845,0.00186767,0.001873386,0.001885001
10.2,2006,WI,0.000936544,0.000891863,0.000203479,0.0002107,0.000207092,0.000212659,0.000212243
10.2,2011,CA,0.000299875,2.40E-09,4.90E-06,5.04E-06,4.67E-06,4.78E-06,4.90E-06
10.2,2011,CO,0.00051258,2.08E-06,7.68E-06,7.88E-06,7.66E-06,7.74E-06,7.81E-06
10.2,2011,GA,0.002117646,0.005627738,0.004999598,0.005036812,0.005196114,0.005013261,0.004992298
10.2,2011,KY,0.000991448,0.00227051,0.002446959,0.002501539,0.00244615,0.002439848,0.002469773
10.2,2011,PA,0.000542518,0.001094867,0.000642445,0.000660257,0.000626633,0.000631924,0.000646117
10.2,2011,TX,0.000876821,0.000961703,0.000963556,0.000990779,0.000955223,0.000966882,0.000977246
10.2,2011,US,0.000870004,0.001446477,0.001250657,0.001250514,0.001271505,0.001247783,0.001245433
10.2,2011,WI,0.000599248,0.000466539,0.000222283,0.000233475,0.000212207,0.000220624,0.000228133
1001.1,2006,CA,0.00113798,5.06E-09,4.36E-06,4.44E-06,4.76E-06,4.59E-06,4.49E-06
1001.1,2006,CO,0.002312065,4.90E-05,6.30E-05,6.49E-05,6.60E-05,6.53E-05,6.49E-05
1001.1,2006,GA,0.003985946,0.006846196,0.005659707,0.005849337,0.005774361,0.005802235,0.005811081
1001.1,2006,KY,0.00843697,0.013294743,0.011107332,0.011351968,0.011326673,0.011315536,0.01130418
1001.1,2006,PA,0.003380369,0.007453981,0.004970722,0.005102908,0.005003413,0.004995275,0.0050406
1001.1,2006,TX,0.002465278,0.002989575,0.002776016,0.002862161,0.002787723,0.002801477,0.002831815
1001.1,2006,US,0.004362669,0.008061609,0.005512293,0.005647651,0.00557127,0.005567683,0.005598912
1001.1,2006,WI,0.006422404,0.014630555,0.006730988,0.006979295,0.006689509,0.006784578,0.006892241
1001.1,2011,CA,3.98E-05,2.01E-09,2.15E-07,2.22E-07,2.12E-07,2.15E-07,2.19E-07
1001.1,2011,CO,7.62E-05,6.28E-07,4.69E-07,4.85E-07,4.63E-07,4.69E-07,4.79E-07
1001.1,2011,GA,0.000131158,0.000275238,0.000230518,0.000236131,0.000232756,0.000233987,0.000235402
1001.1,2011,KY,0.000252189,0.000450722,0.000532573,0.000539321,0.000546351,0.000537132,0.000537799
1001.1,2011,PA,0.000106138,0.000478143,0.000161819,0.000165691,0.000165224,0.000162306,0.000162474
1001.1,2011,TX,7.78E-05,4.69E-05,7.42E-05,7.68E-05,7.46E-05,7.58E-05,7.65E-05
1001.1,2011,US,0.000141045,0.000309979,0.000212832,0.000213036,0.000215583,0.000212268,0.000212009
1001.1,2011,WI,0.000220747,0.000538069,0.000291681,0.00029705,0.000309968,0.000306007,0.000300776
1001.2,2006,CA,0.000910656,4.89E-09,3.49E-06,3.55E-06,3.81E-06,3.67E-06,3.60E-06
1001.2,2006,CO,0.001850205,2.50E-05,5.04E-05,5.19E-05,5.28E-05,5.23E-05,5.20E-05
1001.2,2006,GA,0.00318971,0.0059949,0.004529118,0.004680868,0.004620869,0.004643175,0.004650254
1001.2,2006,KY,0.006751592,0.010826358,0.008888521,0.009084287,0.009064046,0.009055133,0.009046046
1001.2,2006,PA,0.002705104,0.006075498,0.003977765,0.004083546,0.004003927,0.003997414,0.004033685
1001.2,2006,TX,0.001972812,0.002153671,0.002221476,0.002290413,0.002230845,0.002241851,0.002266129
1001.2,2006,US,0.003491178,0.006557438,0.004411152,0.004519471,0.004458347,0.004455477,0.004480468
1001.2,2006,WI,0.005139458,0.011376194,0.005386399,0.005585105,0.005353206,0.005429284,0.00551544
1001.2,2011,CA,4.61E-05,1.74E-09,2.49E-07,2.57E-07,2.46E-07,2.48E-07,2.53E-07
1001.2,2011,CO,8.82E-05,7.98E-07,5.43E-07,5.62E-07,5.35E-07,5.43E-07,5.54E-07
1001.2,2011,GA,0.000151771,0.00029404,0.000266746,0.000273242,0.000269337,0.000270762,0.000272399
1001.2,2011,KY,0.000291823,0.000519711,0.000616274,0.000624083,0.000632217,0.00062155,0.000622321
1001.2,2011,PA,0.000122819,0.000521368,0.000187251,0.000191732,0.000191191,0.000187815,0.000188009
1001.2,2011,TX,9.01E-05,5.16E-05,8.59E-05,8.88E-05,8.63E-05,8.77E-05,8.85E-05
1001.2,2011,US,0.000163212,0.000345312,0.000246281,0.000246518,0.000249464,0.000245629,0.000245329
1001.2,2011,WI,0.00025544,0.000627208,0.000337523,0.000343736,0.000358684,0.0003541,0.000348047
1004.1.Aug,2006,CA,2.41E-05,1.35E-09,9.68E-08,9.64E-08,9.68E-08,9.68E-08,9.68E-08
1004.1.Aug,2006,CO,4.84E-05,5.19E-07,9.71E-07,1.01E-06,9.71E-07,9.71E-07,9.71E-07
1004.1.Aug,2006,GA,0.000100788,0.000164572,0.00015239,0.000156657,0.00015239,0.00015239,0.00015239
1004.1.Aug,2006,KY,0.000264787,0.000391009,0.000359856,0.000364888,0.000359856,0.000359856,0.000359856
1004.1.Aug,2006,PA,7.12E-05,0.000207112,0.000111306,0.000115521,0.000111306,0.000111306,0.000111306
1004.1.Aug,2006,TX,5.57E-05,6.69E-05,5.55E-05,5.70E-05,5.55E-05,5.55E-05,5.55E-05
1004.1.Aug,2006,US,9.04E-05,0.000178292,0.000118042,0.000121075,0.000118042,0.000118042,0.000118042
1004.1.Aug,2006,WI,0.000106129,0.000192294,0.000103136,0.000106458,0.000103136,0.000103136,0.000103136
1004.1.Jul,2006,CA,2.72E-05,1.07E-09,1.09E-07,1.09E-07,1.09E-07,1.09E-07,1.09E-07
1004.1.Jul,2006,CO,5.46E-05,5.27E-07,1.09E-06,1.14E-06,1.09E-06,1.09E-06,1.09E-06
1004.1.Jul,2006,GA,0.000113641,0.000171256,0.000171824,0.000176635,0.000171824,0.000171824,0.000171824
1004.1.Jul,2006,KY,0.000298555,0.000466743,0.000405747,0.000411421,0.000405747,0.000405747,0.000405747
1004.1.Jul,2006,PA,8.02E-05,0.000213502,0.0001255,0.000130253,0.0001255,0.0001255,0.0001255
1004.1.Jul,2006,TX,6.28E-05,7.72E-05,6.26E-05,6.42E-05,6.26E-05,6.26E-05,6.26E-05
1004.1.Jul,2006,US,0.000101914,0.000197576,0.000133096,0.000136515,0.000133096,0.000133096,0.000133096
1004.1.Jul,2006,WI,0.000119663,0.000217346,0.000116289,0.000120035,0.000116289,0.000116289,0.000116289
1004.2.Jul,2006,CA,3.00E-05,1.38E-09,1.20E-07,1.20E-07,1.20E-07,1.20E-07,1.20E-07
1004.2.Jul,2006,CO,6.03E-05,3.99E-07,1.21E-06,1.26E-06,1.21E-06,1.21E-06,1.21E-06
1004.2.Jul,2006,GA,0.000125414,0.00020039,0.000189625,0.000194934,0.000189625,0.000189625,0.000189625
1004.2.Jul,2006,KY,0.000329486,0.000506425,0.000447783,0.000454045,0.000447783,0.000447783,0.000447783
1004.2.Jul,2006,PA,8.85E-05,0.000254102,0.000138502,0.000143748,0.000138502,0.000138502,0.000138502
1004.2.Jul,2006,TX,6.93E-05,7.98E-05,6.91E-05,7.09E-05,6.91E-05,6.91E-05,6.91E-05
1004.2.Jul,2006,US,0.000112472,0.000221557,0.000146884,0.000150658,0.000146884,0.000146884,0.000146884
1004.2.Jul,2006,WI,0.00013206,0.000234977,0.000128337,0.000132471,0.000128337,0.000128337,0.000128337
10043.1001,2011,CA,2.54E-05,6.46E-12,3.59E-08,3.68E-08,3.24E-08,3.46E-08,3.53E-08
10043.1001,2011,CO,3.94E-05,3.66E-07,4.94E-08,5.02E-08,4.62E-08,4.88E-08,4.96E-08
10043.1001,2011,GA,8.48E-05,3.98E-05,4.40E-05,4.53E-05,3.87E-05,4.12E-05,4.25E-05
10043.1001,2011,KY,7.88E-05,5.41E-05,8.60E-06,8.80E-06,7.79E-06,8.10E-06,8.17E-06
10043.1001,2011,PA,0.002354832,0.001465027,0.001931984,0.001842358,0.002290488,0.002083951,0.001983999
10043.1001,2011,TX,4.09E-05,7.45E-06,2.70E-06,2.79E-06,2.33E-06,2.52E-06,2.60E-06
10043.1001,2011,US,0.000233595,0.000246235,0.000229091,0.00022753,0.000235338,0.000231973,0.000228807
10043.1001,2011,WI,6.82E-05,2.43E-05,3.15E-06,3.23E-06,2.82E-06,2.91E-06,2.95E-06
10071.BLR01A,2011,CA,2.40E-06,0,7.28E-09,7.56E-09,6.14E-09,6.61E-09,6.83E-09
10071.BLR01A,2011,CO,3.71E-06,6.17E-08,6.11E-09,6.21E-09,5.70E-09,5.82E-09,5.82E-09
10071.BLR01A,2011,GA,1.04E-05,6.11E-06,1.53E-05,1.58E-05,1.34E-05,1.42E-05,1.46E-05
10071.BLR01A,2011,KY,8.23E-06,5.04E-06,3.21E-06,3.32E-06,2.78E-06,2.90E-06,2.99E-06
10071.BLR01A,2011,PA,1.77E-05,3.92E-05,3.96E-05,4.05E-05,3.61E-05,3.89E-05,3.94E-05
10071.BLR01A,2011,TX,4.15E-06,7.74E-07,7.03E-07,7.33E-07,5.85E-07,6.35E-07,6.62E-07
10071.BLR01A,2011,US,1.15E-05,1.56E-05,1.66E-05,1.62E-05,1.82E-05,1.73E-05,1.68E-05
10071.BLR01A,2011,WI,5.90E-06,1.12E-06,1.31E-07,1.35E-07,1.16E-07,1.21E-07,1.22E-07
10071.BLR01B,2011,CA,2.14E-06,0,6.49E-09,6.74E-09,5.47E-09,5.89E-09,6.09E-09
10071.BLR01B,2011,CO,3.31E-06,5.22E-08,5.45E-09,5.54E-09,5.08E-09,5.19E-09,5.19E-09
10071.BLR01B,2011,GA,9.31E-06,5.41E-06,1.36E-05,1.41E-05,1.19E-05,1.26E-05,1.30E-05
10071.BLR01B,2011,KY,7.34E-06,4.48E-06,2.86E-06,2.96E-06,2.48E-06,2.59E-06,2.66E-06
10071.BLR01B,2011,PA,1.58E-05,3.48E-05,3.53E-05,3.61E-05,3.22E-05,3.47E-05,3.51E-05
10071.BLR01B,2011,TX,3.70E-06,7.09E-07,6.27E-07,6.54E-07,5.21E-07,5.66E-07,5.90E-07
10071.BLR01B,2011,US,1.02E-05,1.39E-05,1.48E-05,1.44E-05,1.63E-05,1.54E-05,1.50E-05
10071.BLR01B,2011,WI,5.26E-06,1.03E-06,1.17E-07,1.21E-07,1.03E-07,1.08E-07,1.09E-07
10071.BLR01C,2011,CA,2.14E-06,0,6.50E-09,6.75E-09,5.49E-09,5.90E-09,6.10E-09
10071.BLR01C,2011,CO,3.31E-06,5.06E-08,5.46E-09,5.55E-09,5.09E-09,5.20E-09,5.20E-09
10071.BLR01C,2011,GA,9.33E-06,5.33E-06,1.37E-05,1.41E-05,1.19E-05,1.27E-05,1.30E-05
10071.BLR01C,2011,KY,7.36E-06,4.33E-06,2.87E-06,2.96E-06,2.49E-06,2.59E-06,2.67E-06
10071.BLR01C,2011,PA,1.58E-05,3.42E-05,3.54E-05,3.62E-05,3.22E-05,3.48E-05,3.52E-05
10071.BLR01C,2011,TX,3.70E-06,6.90E-07,6.28E-07,6.55E-07,5.22E-07,5.67E-07,5.91E-07
10071.BLR01C,2011,US,1.02E-05,1.37E-05,1.48E-05,1.44E-05,1.63E-05,1.55E-05,1.50E-05
10071.BLR01C,2011,WI,5.27E-06,9.75E-07,1.17E-07,1.21E-07,1.03E-07,1.08E-07,1.09E-07
10071.BLR02A,2011,CA,2.11E-06,0,6.42E-09,6.67E-09,5.42E-09,5.83E-09,6.02E-09
10071.BLR02A,2011,CO,3.27E-06,4.82E-08,5.39E-09,5.48E-09,5.03E-09,5.14E-09,5.13E-09
10071.BLR02A,2011,GA,9.20E-06,5.51E-06,1.35E-05,1.39E-05,1.18E-05,1.25E-05,1.28E-05
